date,adj_close,close,high,low,open,volume,ticker,pe,roe,de,revenue_growth_yoy,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2025-02-28,272.2940979003906,277.6499938964844,294.0,277.0,294.0,17458839,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,0.015605512474676564,0.01320815171290679,-0.057215640419407854,0.07715136779881189,40.0,12906.031711722724,95.0,100.0,100.0,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,21.447109837944677,21.29053813063811,19.93932889061308,22.641747370663143,0.4752794434482891,16.447109837944677,4.999999999999999,72.1364466576521,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.057215640419407854,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-03,278.08026123046875,283.54998779296875,286.3500061035156,279.29998779296875,279.45001220703125,11471554,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.017519898469909534,-0.03041724226259024,0.021249753380812475,0.02666273925188196,40.0,12882.430502431633,95.0,90.79255076012547,90.79255076012547,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,20.808833462259,21.17606596729128,19.824856727266248,22.52727520731631,0.4752794434482891,15.808833462258999,4.999999999999999,69.33698886955702,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.021249753380812475,0.0,0.0,0.0,0.0,1.0,0.0
2025-03-04,274.5987548828125,280.0,283.1000061035156,276.29998779296875,279.0,9331785,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.011836911709231068,-0.0007774188062780185,-0.012519795259383848,0.0343508235994769,40.0,12794.183845456857,95.0,51.853153165678755,51.853153165678755,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,18.10948677888747,20.447324942313944,19.096115702288913,21.798534182338976,0.4752794434482891,13.109486778887469,4.999999999999999,57.4977490302082,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012519795259383848,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-05,279.6003723144531,285.1000061035156,286.95001220703125,278.6499938964844,281.3999938964844,10285712,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,0.010747863198125485,0.014050376769879858,0.018214307512555816,0.07069146483981086,40.0,12919.216251364833,95.0,28.094106885774423,28.094106885774423,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,16.462468418622006,19.50036474691315,18.149155506888118,20.85157398693818,0.4752794434482891,11.462468418622006,4.999999999999999,50.27398429220178,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.018214307512555816,0.0,0.0,0.0,0.0,1.0,0.0
2025-03-06,280.38494873046875,285.8999938964844,292.0,283.5,288.45001220703125,9782051,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.017751133038238276,-0.0277565056279222,0.002805990094150612,0.056423582466071175,40.0,12807.103725075447,95.0,18.1942218881551,18.1942218881551,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.776191193370465,18.61535317999685,17.264143939971817,19.96656242002188,0.4752794434482891,10.776191193370467,4.999999999999999,47.26399646215118,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.002805990094150612,0.0,0.0,0.0,0.0,1.0,0.0
2025-03-07,279.30615234375,284.79998779296875,287.70001220703125,282.8999938964844,287.3999938964844,8097300,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,0.005604862520902865,0.014483312337328247,-0.003847520556135131,0.05278959099294715,40.0,12649.43306562774,95.0,15.769942596029878,15.769942596029878,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.60813594159385,17.90071891229871,16.54950967227368,19.251928152323742,0.4752794434482891,10.60813594159385,4.999999999999999,46.52691202453444,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.003847520556135131,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-10,275.48138427734375,280.8999938964844,285.6499938964844,277.95001220703125,284.45001220703125,8165123,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.02663558528182819,-0.04250935101828013,-0.013693799380775973,0.07780787997488284,40.0,12571.042668124714,95.0,15.303248452710505,15.303248452710505,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.5757838928786,17.348222001256996,15.997012761231964,18.699431241282028,0.4752794434482891,10.5757838928786,4.999999999999999,46.38501707402895,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.013693799380775973,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-11,272.39215087890625,277.75,279.29998779296875,273.20001220703125,277.0,8602609,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.008312879584754462,-0.004062155811305201,-0.011213933659411923,0.0803493339944646,40.0,12525.911185515854,95.0,15.22434742722649,15.22434742722649,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.570314336732071,16.92572051860807,15.574511278583039,18.276929758633102,0.4752794434482891,10.570314336732071,4.999999999999999,46.361027792684524,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.011213933659411923,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-12,263.36962890625,268.54998779296875,277.70001220703125,262.20001220703125,277.70001220703125,18584311,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,0.005306541044969082,0.01573895813512416,-0.03312335628094054,0.043620105528820466,40.0,12767.696431062435,95.0,15.197082466931064,15.197082466931064,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.56842428232208,16.60317301871984,15.251963778694808,17.95438225874487,0.4752794434482891,10.56842428232208,4.999999999999999,46.352738080360005,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.03312335628094054,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-03-13,258.90740966796875,264.0,271.1000061035156,263.3500061035156,268.54998779296875,8683943,WIPRO.NS,20.0,15.0,0.5,10.0,15.0,-0.01333049237232553,-0.018990878461664917,-0.016942796498938706,0.09043155166657346,40.0,12800.378137945807,95.0,15.191241584066788,15.191241584066788,0.0,0,95.0,35.0,7.5,0.41,LATE,52.5,True,0.22799999999999998,15.568019382175656,16.357179396589743,15.005970156564711,17.708388636614774,0.4752794434482891,10.568019382175656,4.999999999999999,46.35096220252481,0.4433412159185907,0.25261607744649045,0.3040427066349189,-0.25,-0.029801941477972313,38.81110952062853,False,False,"📊 BALANCED SCENARIO
Components aligned: F=49%, T=5%, M=100%",11.2632,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.016942796498938706,-0.0,0.0,0.0,-0.0,1.0,0.0
