date,pe,roe,de,f1_pe,f2_roe,f3_de,likelihood_L_j,drift_D_f,z_score,phi_z,decay_factor,f_score
2025-03-03,28.084834755134654,165.71680026699002,1.4783480365365613,3.3702168959002954,1.0,0.40349457996120625,1.7989604033504198,5.15540933520975,-1.4247944159477717,0.0771083184772634,0.10274434258796644,0.7922443490009974
2025-03-04,28.03565255027303,166.1387226482639,1.477729293783294,3.3685244731804875,1.0,0.4035953413107048,1.7983086245998714,5.285021431810242,-1.3133267267293416,0.09453643813754814,0.10530853109254472,0.9955493434986419
2025-03-05,27.98647034541141,166.56064502953774,1.4771105510300264,3.3668291813095146,1.0,0.40369615299736306,1.7976557107731466,5.414859248569451,-1.206651122250284,0.11378326498612396,0.10787578188175681,1.2274458675437245
2025-03-06,27.937288140549786,166.9825674108116,1.4764918082767589,3.365131010542755,1.0,0.40379701505891097,1.7970016579818298,5.544923558733969,-1.1044648474469265,0.1346957720934855,0.11044606937735739,1.4876618589473818
2025-03-07,27.888105935688166,167.40448979208549,1.4758730655234915,3.3634299510858576,1.0,0.4038979275331156,1.7963464623176222,5.675215139504341,-1.0064901223801308,0.1570899303889326,0.11301936775800249,1.7754204613705784
2025-03-10,27.838923730826544,167.82641217335933,1.475254322770224,3.3617259930944043,1.0,0.40399889045778237,1.7956901198522075,5.8057347720617845,-0.9124716187822349,0.1807602516214089,0.11559565095893796,2.0895098953678186
2025-03-11,27.78974152596492,168.2483345546332,1.4746355800169566,3.3600191266735684,1.0,0.4040999038707541,1.7950326266371157,5.936483241595251,-0.8221742365176862,0.20548886974176517,0.11817489267170875,2.428362512696384
2025-03-12,27.740559321103298,168.67025693590705,1.474016837263689,3.3583093418777676,1.0,0.4042009678099117,1.794373978703585,6.067461337328894,-0.7353811391774374,0.2310537025905452,0.12075706634388968,2.790136729272782
2025-03-13,27.691377116241675,169.09217931718092,1.4733980945104215,3.356596628710319,1.0,0.404302082313174,1.7937141720624212,6.198669852550067,-0.6518920142437452,0.25723541846001974,0.12334214517884116,3.1727968328835714
2025-03-14,27.642194911380052,169.5141016984548,1.4727793517571541,3.3548809771230865,1.0,0.40440324741849737,1.7930532027038593,6.3301095846367765,-0.571521528432983,0.28382308564621544,0.12593010213546818,3.5741870163831644
2025-03-17,27.59301270651843,169.93602407972867,1.4721606090038866,3.3531623770161283,1.0,0.40450446316387684,1.7923910665974205,6.461781335086135,-0.49409795313885974,0.31061850168525695,0.12852090992801346,3.9920972477065404
2025-03-18,27.54383050165681,170.3579464610025,1.471541866250619,3.3514408182373394,1.0,0.40460572958734503,1.791727759691772,6.593685909542341,-0.4194619385159795,0.33743928282304964,0.131114541025856,4.424319669143817
2025-03-19,27.494648296795187,170.7798688422764,1.4709231234973517,3.3497162905820916,1.0,0.40470704672697266,1.79106327791458,6.725824117825741,-0.34746541778188694,0.3641208472932101,0.13371096765334578,4.868695083433127
2025-03-20,27.445466091933564,171.20179122355023,1.470304380744084,3.347988783792872,1.0,0.4048084146208689,1.7903976171723663,6.858196773961529,-0.27797062588103605,0.3905174538086945,0.13631016178964586,5.32314973103437
2025-03-21,27.39628388707194,171.6237136048241,1.4696856379908168,3.346258287558914,1.0,0.4049098333071808,1.789730773350361,6.990804696208889,-0.21084921882218968,0.4165024653583235,0.13891209516859915,5.785723010581161
2025-03-24,27.34710168221032,172.04563598609798,1.4690668952375492,3.3445247915158327,1.0,0.40501130282409376,1.7890627423123566,7.123648707090004,-0.14598148184242357,0.4419680035797613,0.1415167392786072,6.254587073208361
2025-03-25,27.2979194773487,172.46755836737182,1.4684481524842816,3.3427882852452475,1.0,0.4051128232098315,1.788393519900557,7.256729633420304,-0.08325561611701246,0.46682414546243833,0.14412406536254904,6.728059365344457
2025-03-26,27.248737272487077,172.8894807486457,1.4678294097310143,3.341048758274409,1.0,0.405214394502656,1.7877231019354276,7.390048306337964,-0.022567095073691434,0.49099779573351626,0.1467340444177012,7.204609236815515
