date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,sma_200,trend_positive,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2010-02-02,12.099382400512695,15.600000381469727,15.680000305175781,15.3100004196167,15.449999809265137,171404800,BAC,,,,,,,,,,,,,,,,,,21.479999542236328,0.012103426777678283,0.009708643014176621,0.011673171484123834,1.2947659547847308,40.0,340.50604147134266,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-03,12.045092582702637,15.529999732971191,15.800000190734863,15.520000457763672,15.569999694824219,130861600,BAC,,,,,,,,,,,,,,,,,,21.600000381469727,-0.0049827453890994855,-0.010988904663705057,-0.004487220947871573,1.2950840008300326,40.0,178.65285513000964,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-04,11.4401216506958,14.75,15.430000305175781,14.729999542236328,15.350000381469727,252558700,BAC,,,,,,,,,,,,,,,,,,26.079999923706055,-0.030865877566523925,-0.04305562349380887,-0.050225353920335336,1.2794890422205178,40.0,674.4630993234629,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-05,11.634021759033203,15.0,15.0600004196167,14.3100004196167,14.84000015258789,297683300,BAC,,,,,,,,,,,,,,,,,,26.110000610351562,0.002066903566863676,0.011611088099269473,0.016949152542372836,1.2761796836203867,40.0,426.74529482002316,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-08,11.230710983276367,14.479999542236328,14.960000038146973,14.449999809265137,14.9399995803833,208207300,BAC,,,,,,,,,,,,,,,,,,26.510000228881836,-0.007219241009031374,-0.02008613963979744,-0.034666697184244755,1.293465029743201,40.0,659.4969784499579,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-09,11.222955703735352,14.470000267028809,14.779999732971191,14.25,14.670000076293945,251522100,BAC,,,,,,,,,,,,,,,,,,26.0,0.012560221349710465,0.010248888313647786,-0.0006905577019082898,1.2726250131953623,40.0,563.8180601703776,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-10,11.37807559967041,14.670000076293945,14.90999984741211,14.460000038146973,14.510000228881836,175741800,BAC,,,,,,,,,,,,,,,,,,25.399999618530273,-0.0019585812542605163,0.007971022260061522,0.01382168663264327,1.2775835883723723,40.0,481.75214156964734,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-11,11.347049713134766,14.630000114440918,14.800000190734863,14.539999961853027,14.670000076293945,141086300,BAC,,,,,,,,,,,,,,,,,,23.959999084472656,0.010466265721233103,0.0021567852480783856,-0.002726650418882093,1.2761784188866396,40.0,421.5959695745223,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-12,11.207442283630371,14.449999809265137,14.539999961853027,14.279999732971191,14.470000267028809,162819300,BAC,,,,,,,,,,,,,,,,,,22.729999542236328,-0.0008322976063682708,0.0007172688906915692,-0.012303506751042859,1.2937541641435728,40.0,370.8863006384121,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-02-16,11.75811767578125,15.15999984741211,15.3100004196167,14.619999885559082,14.65999984741211,205493300,BAC,,,,,,,,,,,,,,,,,,22.25,0.01573488461529493,0.020788581743665713,0.04913495138537871,1.3329057642453703,40.0,553.1563910920551,5.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
